order_id,date,customer_id,city,category,amount
1001,2026-04-18,103,Wuhan,Sports,57.33
1002,2026-04-06,113,Hangzhou,,38.04
1003,2026-04-12,35,Shenzhen,Sports,90.34
1004,2026-03-24,49,Nanjing,Food,31.64
1005,2026-02-07,30,Guangzhou,Books,73.13
1006,2026-02-12,119,Chengdu,Electronics,28.08
1007,2026-03-24,27,Beijing,Food,63.85
1008,2026-01-08,7,Beijing,Books,113.95
1009,2026-01-19,79,Hangzhou,Food,19.79
1010,2026-04-23,72,Chengdu,Books,37.65
1011,2026-04-04,113,Chengdu,Sports,64.4
1012,2026-03-04,78,Guangzhou,Electronics,99999.0
1013,2026-03-23,50,Beijing,Clothing,87.06
1014,2026-02-02,109,Shanghai,Food,43.21
1015,2026-04-09,39,Guangzhou,Books,90.85
1016,2026-04-18,5,Beijing,Clothing,25.75
1017,2026-03-17,66,Chengdu,Clothing,32.63
1018,2026-02-27,61,Beijing,Food,54.54
1019,2026-04-25,87,Nanjing,Books,98.5
1020,2026-01-10,36,Wuhan,Books,43.03
1021,2026-02-11,45,Shanghai,Books,123.52
1022,2026-03-08,48,Shenzhen,Food,42.81
1023,2026-01-05,34,Shenzhen,Books,19.14
1024,2026-03-31,38,Guangzhou,Clothing,25.94
1025,2026-03-09,56,Wuhan,Electronics,59.69
1026,2026-01-01,41,Nanjing,Sports,24.99
1027,2026-01-23,50,Shenzhen,Sports,314.11
1028,2026-02-18,8,Beijing,Electronics,33.62
1029,2026-02-11,34,Guangzhou,Food,104.31
1030,2026-02-04,4,Nanjing,Clothing,47.9
1031,2026-01-06,14,Nanjing,Sports,44.58
1032,2026-04-19,90,Chengdu,Sports,57.01
1033,2026-02-09,63,Wuhan,Electronics,75.15
1034,2026-03-11,119,Guangzhou,Books,96.72
1035,2026-03-13,104,Nanjing,Food,14.37
1036,2026-04-11,24,Guangzhou,Food,119.35
1037,2026-03-18,113,Wuhan,Sports,54.89
1038,2026-02-09,51,Shenzhen,Electronics,104.41
1039,2026-01-06,98,Guangzhou,Sports,64.64
1040,2026-04-10,73,Hangzhou,Food,98.8
1041,2026-02-09,33,Wuhan,Electronics,25.01
1042,2026-01-25,89,Hangzhou,Food,10.96
1043,2026-03-20,6,Nanjing,Books,22.21
1044,2026-04-19,47,Chengdu,Food,32.0
1045,2026-03-14,60,Guangzhou,Food,26.84
1046,2026-02-26,63,Chengdu,Electronics,63.04
1047,2026-02-06,60,Beijing,Books,46.84
1048,2026-04-30,25,Shanghai,Clothing,11.3
1049,2026-01-22,104,Beijing,Clothing,180.46
1050,2026-03-29,103,Nanjing,Electronics,57.23
1051,2026-04-10,47,Beijing,Food,27.75
1052,2026-01-14,112,Beijing,Food,70.04
1053,2026-02-13,80,Hangzhou,Sports,57.65
1054,2026-04-11,37,Chengdu,Books,13.32
1055,2026-02-17,32,Shenzhen,Clothing,105.38
1056,2026-04-22,100,Guangzhou,Electronics,157.77
1057,2026-01-09,26,Chengdu,Clothing,65.05
1058,2026-04-02,17,Nanjing,Sports,110.11
1059,2026-02-24,119,Chengdu,Electronics,54.84
1060,2026-04-02,71,Shanghai,,22.52
1061,2026-03-07,76,Hangzhou,Electronics,29.95
1062,2026-04-09,83,Shenzhen,Food,86.51
1063,2026-03-14,12,Beijing,Sports,73.94
1064,2026-01-01,105,Shenzhen,Books,75.68
1065,2026-01-05,55,Guangzhou,Clothing,53.27
1066,2026-03-04,115,Shenzhen,Electronics,44.92
1067,2026-04-17,103,Nanjing,Electronics,15.8
1068,2026-02-13,84,Nanjing,Clothing,35.15
1069,2026-03-25,30,Guangzhou,Electronics,69.51
1070,2026-02-04,59,Guangzhou,Books,8.74
1071,2026-01-30,1,Nanjing,Clothing,37.88
1072,2026-01-04,76,Chengdu,Electronics,60.34
1073,2026-02-21,15,Beijing,Clothing,69.56
1074,2026-03-31,56,Beijing,Food,101.99
1075,2026-02-10,10,Shanghai,Electronics,62.67
1076,2026-04-19,78,Shenzhen,Food,48.82
1077,2026-03-25,92,Shenzhen,Clothing,86.12
1078,2026-03-04,26,Nanjing,Food,153.77
1079,2026-02-05,95,Shanghai,Electronics,46.77
1080,2026-01-22,30,Chengdu,Electronics,131.68
1081,2026-03-11,116,Nanjing,Food,123.74
1082,2026-01-09,102,Wuhan,,39.69
1083,2026-01-16,17,Nanjing,Food,73.12
1084,2026-04-13,109,Beijing,Food,88.75
1085,2026-03-20,101,Chengdu,Electronics,36.09
1086,2026-01-23,1,Wuhan,Books,49.38
1087,2026-03-01,44,Chengdu,Clothing,35.95
1088,2026-04-14,117,Wuhan,Sports,35.48
1089,2026-01-09,22,Hangzhou,Electronics,51.17
1090,2026-01-26,8,Guangzhou,Clothing,55.04
1091,2026-04-04,93,Beijing,Electronics,78.96
1092,2026-02-07,22,Beijing,Books,42.4
1093,2026-04-16,65,Shenzhen,Food,50.32
1094,2026-01-31,101,Shenzhen,Clothing,54.03
1095,2026-03-16,14,Beijing,Electronics,68.43
1096,2026-01-15,34,Chengdu,Food,35.5
1097,2026-01-20,47,Beijing,Electronics,27.52
1098,2026-02-26,38,Beijing,Sports,98.49
1099,2026-02-11,74,Shenzhen,Books,57.37
1100,2026-03-20,38,Chengdu,Electronics,6.89
1101,2026-03-27,68,Shanghai,Sports,155.33
1102,2026-04-14,43,Chengdu,Electronics,25.91
1103,2026-01-26,87,Beijing,Books,21.27
1104,2026-03-02,77,Nanjing,Sports,173.33
1105,2026-03-09,33,Shenzhen,Clothing,179.2
1106,2026-04-04,75,Nanjing,Books,387.42
1107,2026-03-05,83,Beijing,Electronics,29.91
1108,2026-01-31,18,Beijing,Clothing,16.79
1109,2026-03-22,93,Chengdu,Sports,95.73
1110,2026-02-10,27,Chengdu,Clothing,79.62
1111,2026-04-29,69,Chengdu,Electronics,42.03
1112,2026-01-25,21,Chengdu,Books,28.23
1113,2026-02-22,17,Shanghai,Sports,34.05
1114,2026-03-20,104,Hangzhou,Sports,61.59
1115,2026-01-19,25,Shanghai,Clothing,73.35
1116,2026-02-21,84,Shenzhen,Books,61.05
1117,2026-04-02,54,Shanghai,Electronics,156.18
1118,2026-03-02,33,Beijing,Books,62.51
1119,2026-01-24,6,Chengdu,Sports,16.32
1120,2026-01-12,89,Nanjing,Food,46.2
1121,2026-01-19,3,Beijing,Sports,127.15
1122,2026-03-02,106,Nanjing,Food,40.11
1123,2026-01-21,76,Guangzhou,Food,426.43
1124,2026-02-15,113,Shanghai,,32.41
1125,2026-02-22,50,Chengdu,Books,69.06
1126,2026-02-08,13,Shanghai,Food,103.4
1127,2026-04-20,83,Beijing,Electronics,52.59
1128,2026-01-08,22,Wuhan,Clothing,149.14
1129,2026-04-18,110,Chengdu,Food,44.9
1130,2026-04-27,62,Hangzhou,Books,26.4
1131,2026-01-13,11,Shenzhen,Electronics,55.89
1132,2026-03-31,80,Shenzhen,Clothing,47.59
1133,2026-02-25,78,Hangzhou,Food,52.16
1134,2026-04-04,8,Chengdu,Food,120.5
1135,2026-03-12,61,Shanghai,Electronics,55.69
1136,2026-02-25,116,Wuhan,Books,53.14
1137,2026-03-21,70,Nanjing,Electronics,169.74
1138,2026-01-22,11,Shenzhen,Books,13.27
1139,2026-03-04,30,Nanjing,Electronics,81.53
1140,2026-01-26,11,Chengdu,Clothing,39.89
1141,2026-03-17,71,Chengdu,Books,19.48
1142,2026-01-01,85,Nanjing,Clothing,69.37
1143,2026-02-28,106,Wuhan,,141.43
1144,2026-02-28,68,Nanjing,Electronics,43.93
1145,2026-04-15,35,Shanghai,Food,38.99
1146,2026-04-19,90,Wuhan,Electronics,37.29
1147,2026-03-04,110,Beijing,Books,53.34
1148,2026-02-21,4,Beijing,Books,20.33
1149,2026-02-05,86,Guangzhou,Food,31.32
1150,2026-03-27,106,Guangzhou,Books,43.97
1151,2026-03-05,62,Shenzhen,Electronics,30.69
1152,2026-04-25,60,Guangzhou,Books,38.58
1153,2026-01-03,110,Chengdu,Food,120.19
1154,2026-03-26,29,Guangzhou,Clothing,258.74
1155,2026-01-23,69,Hangzhou,Electronics,68.92
1156,2026-02-28,53,Nanjing,Clothing,64.41
1157,2026-01-22,62,Nanjing,Food,14.6
1158,2026-04-26,13,Shenzhen,Food,10.44
1159,2026-04-30,15,Wuhan,Clothing,49.42
1160,2026-04-23,99,Chengdu,Sports,117.07
1161,2026-04-10,109,Shanghai,Food,192.33
1162,2026-04-05,41,Chengdu,Books,121.17
1163,2026-01-24,52,Nanjing,Electronics,39.12
1164,2026-03-27,83,Wuhan,Clothing,16.62
1165,2026-03-20,87,Beijing,Sports,54.29
1166,2026-02-22,117,Beijing,Electronics,45.11
1167,2026-02-07,10,Shanghai,Books,23.4
1168,2026-04-27,106,Shanghai,Food,60.86
1169,2026-01-14,38,Nanjing,Food,84.4
1170,2026-01-07,42,Nanjing,Sports,84.58
1171,2026-04-22,7,Guangzhou,Sports,46.8
1172,2026-02-10,50,Hangzhou,Books,112.76
1173,2026-02-15,62,Chengdu,Electronics,99999.0
1174,2026-02-24,36,Hangzhou,Food,49.57
1175,2026-04-26,68,Wuhan,Electronics,106.05
1176,2026-03-17,99,Wuhan,,37.1
1177,2026-04-18,39,Shenzhen,Clothing,92.4
1178,2026-04-27,54,Shenzhen,Clothing,42.8
1179,2026-02-18,61,Shanghai,Clothing,43.73
1180,2026-02-11,69,Guangzhou,Food,35.92
1181,2026-02-15,63,Shanghai,Electronics,56.68
1182,2026-04-06,73,Chengdu,Books,47.99
1183,2026-03-26,5,Shenzhen,Clothing,13.67
1184,2026-04-20,68,Shenzhen,Food,68.73
1185,2026-02-13,47,Wuhan,Electronics,35.98
1186,2026-04-24,28,Beijing,Food,63.07
1187,2026-04-12,15,Nanjing,,66.55
1188,2026-03-10,66,Nanjing,Sports,16.57
1189,2026-02-16,92,Hangzhou,Books,65.04
1190,2026-02-19,67,Beijing,Clothing,22.32
1191,2026-01-21,80,Shanghai,Books,117.25
1192,2026-04-13,89,Shenzhen,Books,23.35
1193,2026-03-21,114,Shenzhen,Clothing,116.91
1194,2026-01-22,24,Shenzhen,Clothing,33.7
1195,2026-04-05,38,Shenzhen,Sports,13.73
1196,2026-02-02,97,Nanjing,Clothing,30.05
1197,2026-01-14,105,Wuhan,Clothing,61.91
1198,2026-04-07,10,Beijing,Sports,95.47
1199,2026-02-08,4,Wuhan,Books,30.67
1200,2026-01-10,28,Wuhan,Sports,15.87
1201,2026-04-30,42,Wuhan,Food,98.33
1202,2026-03-08,94,Chengdu,Sports,26.21
1203,2026-03-27,61,Hangzhou,Sports,70.26
1204,2026-04-22,36,Hangzhou,Books,77.27
1205,2026-03-02,53,Guangzhou,Clothing,51.56
1206,2026-01-20,92,Shanghai,Clothing,23.65
1207,2026-04-21,47,Shenzhen,Sports,33.43
1208,2026-02-27,38,Guangzhou,Sports,22.59
1209,2026-01-05,2,Chengdu,Books,67.74
1210,2026-02-02,94,Shenzhen,Electronics,23.42
1211,2026-02-27,79,Chengdu,Food,104.18
1212,2026-01-19,65,Guangzhou,Books,11.2
1213,2026-02-26,119,Guangzhou,Food,49.33
1214,2026-04-28,95,Shanghai,Books,108.92
1215,2026-03-21,84,Guangzhou,Clothing,33.13
1216,2026-04-28,18,Chengdu,Sports,19.63
1217,2026-01-28,5,Shanghai,Books,22.48
1218,2026-04-06,79,Guangzhou,Books,98.37
1219,2026-03-27,77,Hangzhou,Sports,15.59
1220,2026-02-22,10,Nanjing,Books,57.35
1221,2026-01-23,97,Shenzhen,Sports,61.76
1222,2026-04-03,94,Wuhan,Clothing,13.26
1223,2026-02-04,111,Nanjing,Sports,90.22
1224,2026-01-18,108,Shenzhen,Books,27.53
1225,2026-04-24,119,Nanjing,Books,36.35
1226,2026-01-24,46,Shanghai,Food,152.62
